domain,trial,our_id,competitor_id,fp_winner,fp_reason,fp_ours,fp_competitor,tu_winner,tu_reason,tu_ours,tu_competitor,sv_winner,sv_reason,sv_ours,sv_competitor,overall_winner,overall_reason
Consumer,1,US10231596B2,EP3560405A1,tie,"Both patents improve the functional purpose of washing dishes, but they achieve this through different means: EP3560405A1 focuses on varying spray angles in dishwashers using a reciprocating spray arm while US10231596B2 optimizes the distribution of washing water with a movable vane and fixed nozzle.",Improves overall cleaning efficiency in dish washing machines by optimizing the distribution of washing water through a movable vane and fixed nozzle.,Improves washing efficiency of dishes by varying spraying angles in dishwashers using a reciprocating spray arm.,competitor,"EP3560405A1 uses a rotatable auxiliary arm that changes spray angles due to the reciprocal movement of the main arm, whereas US10231596B2 utilizes a linear type jet structure with a movable vane.",Enhances cleaning coverage with a linear type jet structure that reflects water from a fixed nozzle towards the dish using a movable vane.,Enhances washing efficiency through a rotatable auxiliary arm that changes spray angles due to the reciprocal movement of the main arm.,competitor,"EP3560405A1 provides an advantage in product competitiveness by offering more efficient cleaning in dishwashers, potentially attracting customers seeking faster and more thorough dish washing, compared to US10231596B2 which aims at improving washing efficiency in current or near-term dish washing machines.",Enhances product competitiveness by providing improved washing efficiency in current or near-term dish washing machines.,"Provides an advantage in product competitiveness by offering more efficient cleaning in dishwashers, potentially attracting customers seeking faster and more thorough dish washing.",competitor,EP3560405A1 stands out by offering a more comprehensive solution to enhancing dishwashing efficiency through technical uniqueness and strategic value.
Consumer,1,US10231596B2,KR102528669B1,competitor,"The KR patent improves the distribution of washing water on dish surfaces specifically for dishwashers, which is a more focused application compared to the US patent's general dish washing machine improvement.",Improves overall cleaning efficiency in dish washing machines by optimizing the distribution of washing water through a movable vane and fixed nozzle.,Improves the even distribution of washing water on dish surfaces for efficient cleaning in dishwashers by incorporating an auxiliary arm that adjusts spray angle based on main arm rotation.,competitor,"The KR patent's design combines a main and auxiliary arm, while the US patent uses a movable vane and fixed nozzle. This makes the KR patent technically unique in its approach to optimizing water distribution.",Enhances cleaning coverage with a linear type jet structure that reflects water from a fixed nozzle towards the dish using a movable vane.,"Combines a main and auxiliary arm design to reciprocate the auxiliary arm using the rotational force of the main arm, eliminating the need for a separate driving device.",competitor,"The strategic value of the KR patent is higher as it reduces water usage and enhances energy savings, which are significant customer concerns in dishwashers, whereas the US patent primarily focuses on improved washing efficiency.",Enhances product competitiveness by providing improved washing efficiency in current or near-term dish washing machines.,"Reduces water usage while improving cleaning efficiency in dishwashers, enhancing customer satisfaction with cleaner dishes and potential energy savings.",competitor,The KR patent shows more potential for strategic differentiation in dishwasher technology due to its technical uniqueness and focus on customer concerns.
Mobile,1,US11703916B2,CN114909388B,ours,"The functional purpose of the US patent is to ensure stability in foldable devices during unfolding and folding, whereas the CN patent aims to regulate bending force for flexible screens. The former's focus on tracks that are critical for device movement gives it an edge.",Ensures stability of moving tracks in foldable electronic devices during unfolding and folding processes by utilizing a unique linkage system,Extends service life of flexible screens in foldable electronic devices by regulating bending force during the folding process,tie,"Both patents demonstrate unique technical solutions: the US patent uses a symmetrically disposed linkage component with sliding lap joint structures, while the CN patent employs a folding mechanism with four swing arms. The difference between their technical uniqueness is minimal.",Uses a symmetrically disposed linkage component with sliding lap joint structures for shock absorption during movement,Utilizes a folding mechanism with four swing arms that rotate and slide to facilitate controlled bending motion without excessive force,ours,"While the CN patent improves competitiveness by lowering maintenance costs and extending product lifespan, the US patent enhances durability and reliability of foldable devices, allowing for broader market applicability.","Enhances durability and reliability of foldable devices, allowing for broader market applicability","Enhances competitiveness of foldable electronic devices by improving their durability, lowering maintenance costs, and extending product lifespan",ours,The US patent's focus on enhancing durability and reliability gives it a strategic advantage over the CN patent.
Mobile,1,US11703916B2,EP4557048A1,competitor,"The functional purpose of EP4557048A1 addresses a specific challenge in portable electronic devices, limited screen size, by providing a foldable display that can be expanded and compacted as needed.",Ensures stability of moving tracks in foldable electronic devices during unfolding and folding processes by utilizing a unique linkage system,Addresses limited screen size in portable electronic devices by providing a foldable display that can be expanded and compacted as needed.,competitor,"The technical uniqueness of EP4557048A1 lies in its use of a multi-hinge system with continuous center bars for seamless rotation and support of the foldable display, which is not found in US11703916B2.",Uses a symmetrically disposed linkage component with sliding lap joint structures for shock absorption during movement,Uses a multi-hinge system with continuous center bars for seamless rotation and support of the foldable display.,competitor,The strategic value of EP4557048A1 is higher due to its potential for increasing market share in the competitive electronics market by enhancing user experience through increased usability without compromising device portability.,"Enhances durability and reliability of foldable devices, allowing for broader market applicability","Enhances user experience by increasing usability without compromising device portability, potentially leading to increased market share in competitive electronics market.",competitor,EP4557048A1 offers a unique solution for foldable displays with strategic potential in the electronics market.
Mobile,1,US11703916B2,US20240430348A1,competitor,"The first patent focuses on ensuring stability of moving tracks, while the second patent aims to change screen size by folding and unfolding the device.",Ensures stability of moving tracks in foldable electronic devices during unfolding and folding processes by utilizing a unique linkage system,"A foldable electronic device folds and unfolds to change its screen size, maintaining portability while allowing wider screens.",ours,"The first patent utilizes a symmetrically disposed linkage component with sliding lap joint structures for shock absorption during movement, while the second patent uses a multi-component hinge system.",Uses a symmetrically disposed linkage component with sliding lap joint structures for shock absorption during movement,The structure includes a multi-component hinge system for stable folding motion and improved stability.,ours,"The first patent enhances durability and reliability of foldable devices, allowing for broader market applicability, while the second patent improves market applicability by offering increased screen sizes without compromising on portability.","Enhances durability and reliability of foldable devices, allowing for broader market applicability",Improves market applicability of portable electronic devices by offering increased screen sizes without compromising on portability.,ours,"The first patent offers enhanced durability and reliability in addition to broader market applicability, providing more significant strategic value than the second patent."
Mobile,1,US11703916B2,JP2022165707A,competitor,"The JP patent focuses on solving the issue of excess wiring or flexible substrate management during rotation, enhancing data transmission and device functionality, which directly addresses a key challenge in foldable devices.",Ensures stability of moving tracks in foldable electronic devices during unfolding and folding processes by utilizing a unique linkage system,"Solves issue of excess wiring or flexible substrate management in foldable electronic devices during rotation, enhancing data transmission and device functionality.",competitor,"The JP patent provides a unique hinge device with a flexible substrate design that can be flexed without horizontal bending, allowing controlled movement while maintaining flexibility for smooth absorption of excess length. In contrast, the US patent focuses on stability through a symmetrically disposed linkage component with sliding lap joint structures, which is not explicitly mentioned as a unique feature.",Uses a symmetrically disposed linkage component with sliding lap joint structures for shock absorption during movement,"Provides a hinge device with a flexible substrate design that can be flexed without horizontal bending, allowing controlled movement while maintaining flexibility for smooth absorption of excess length.",tie,"Both patents enhance market applicability by addressing key challenges in foldable devices. The JP patent can expand product offerings and increase competitiveness through enhanced functionality, while the US patent improves durability and reliability for broader market applicability.","Enhances durability and reliability of foldable devices, allowing for broader market applicability","Enhances market applicability by addressing a key challenge in foldable devices, potentially expanding product offerings and increasing competitiveness.",competitor,"The JP patent offers a unique technical solution that addresses a key challenge in foldable devices, providing greater strategic value."
Healthcare,1,US20210259560A1,KR102407094B1,ours,"The US patent presents a more expansive functional purpose by providing continuous, long-term cardiac monitoring compared to the wrist-based blood pressure monitoring of the KR patent.","Provides continuous, long-term cardiac monitoring using a digital health device easily applied by lay users.","Provides non-invasive wrist-worn blood pressure measurement without a cuff, addressing bulky equipment, damage to blood vessels, and limited accuracy issues in existing methods.",competitor,The KR patent's use of a contact pressure sensor and pulse wave signal sensor for cuffless blood pressure measurement provides unique technical capabilities.,"Integrates microcontroller, sensors, and user interface for real-time analysis and feedback of physiological data.","Utilizes a contact pressure sensor that measures contact pressure while the hand shape changes, and a pulse wave signal sensor, enabling accurate blood pressure calculation without a cuff.",ours,"The US patent's potential to improve early detection of cardiovascular diseases, reduce healthcare costs, and increase access to medical diagnostic capabilities has a higher strategic value compared to the KR patent's focus on enhancing portability, improving accuracy, and adopting wearable devices.","Improves early detection of cardiovascular diseases, reducing healthcare costs, improving treatment outcomes, and increasing access to medical diagnostic capabilities.","Reduces equipment size, enhances portability, potentially improves accuracy compared to existing cuffless methods, and can be readily adopted in current or near-term wearable devices",ours,"The US patent offers broader technological capabilities and strategic benefits compared to the KR patent, making it a more appealing innovation."
Healthcare,1,US20210259560A1,US11432766B2,ours,"The first patent (US20210259560A1) provides a more comprehensive functional purpose by offering continuous, long-term cardiac monitoring as compared to the electrocardiogram (ECG) measurement of the second patent (US11432766B2).","Provides continuous, long-term cardiac monitoring using a digital health device easily applied by lay users.",Enables accurate and efficient measurement of user's electrocardiogram (ECG) using a wearable electronic device,tie,"Both patents demonstrate unique technical approaches, integrating microcontroller and sensors for real-time analysis in the first patent (US20210259560A1), and utilizing a novel set-up with two electrodes on the device crown and carrier for improved ECG signal correlation in the second patent (US11432766B2).","Integrates microcontroller, sensors, and user interface for real-time analysis and feedback of physiological data.",Utilizes a novel set-up with two electrodes on the device crown and carrier for improved ECG signal correlation,ours,"The first patent (US20210259560A1) presents a higher strategic value by aiming to improve early detection of cardiovascular diseases, reducing healthcare costs, and increasing access to medical diagnostic capabilities. The second patent (US11432766B2), while offering potential market applicability, does not directly provide the same level of impact on healthcare outcomes.","Improves early detection of cardiovascular diseases, reducing healthcare costs, improving treatment outcomes, and increasing access to medical diagnostic capabilities.","Offers potential market applicability in current or near-term wearable devices, improves product quality by enhancing ECG measurement accuracy, and could be reused across different wearable device categories",ours,"The first patent (US20210259560A1) offers a more comprehensive functional purpose, unique technical approach, and greater strategic value."
Healthcare,1,US20210259560A1,US9348322B2,ours,"The first patent focuses on continuous, long-term cardiac monitoring while the second targets effective biometric sensing in compact smart devices. The first patent's specific application to healthcare makes it more specialized compared to the general focus of the second.","Provides continuous, long-term cardiac monitoring using a digital health device easily applied by lay users.","Enables effective biometric sensing in compact smart devices, addressing the need for small-sized smart watches and smart glasses with robust biometric features.",tie,"Both patents introduce unique technical elements – the first integrates microcontroller, sensors, and user interface for real-time analysis, while the second uses light emission and detection through a lens with an opaque and transparent section. Both solutions contribute to technological advancement in their respective fields.","Integrates microcontroller, sensors, and user interface for real-time analysis and feedback of physiological data.",Utilizes light emission and detection through a lens with an opaque and transparent section to measure biometric data from user's skin while maintaining device compactness.,ours,"The first patent's strategic value lies in improving early detection of cardiovascular diseases, reducing healthcare costs, and increasing access to medical diagnostic capabilities. The second patent's strategic value is limited to potentially expanding market share in wearable technology by offering innovative, feature-rich devices with improved design aesthetics.","Improves early detection of cardiovascular diseases, reducing healthcare costs, improving treatment outcomes, and increasing access to medical diagnostic capabilities.","Potentially expands market share in wearable technology by offering innovative, feature-rich devices with improved design aesthetics.",ours,The first patent provides a more significant impact on healthcare by facilitating early detection and prevention of cardiovascular diseases.
Healthcare,1,US20210259560A1,US9775548B2,ours,"The first patent provides continuous, long-term cardiac monitoring, whereas the second patent focuses solely on heart rate monitoring in wearable fitness devices.","Provides continuous, long-term cardiac monitoring using a digital health device easily applied by lay users.",Improves heart rate monitoring sensitivity and accuracy in wearable fitness devices,ours,"The first patent integrates a microcontroller, sensors, and user interface for real-time analysis and feedback of physiological data, whereas the second patent uses a high-aspect-ratio photodetector element with green LEDs to capture diffused light.","Integrates microcontroller, sensors, and user interface for real-time analysis and feedback of physiological data.",Uses a high-aspect-ratio photodetector element with green LEDs to capture diffused light for more precise measurements,ours,"The first patent's improvements in early detection of cardiovascular diseases, reducing healthcare costs, improving treatment outcomes, and increasing access to medical diagnostic capabilities have a broader strategic impact compared to the second patent's enhancement of product competitiveness in the wearable fitness market.","Improves early detection of cardiovascular diseases, reducing healthcare costs, improving treatment outcomes, and increasing access to medical diagnostic capabilities.","Allows for more reliable fitness data, enhancing product competitiveness in the wearable fitness market",ours,The first patent demonstrates a stronger combination of technological uniqueness and strategic value for healthcare applications.
AI,10,US11475102B2,US20230297372A1,competitor,"The functional purpose of US20230297372A1 is more extensive as it improves computation efficiency for multi-dimensional data arrays, while US11475102B2 specifically focuses on matrix multiplication in deep neural networks.",Accelerates matrix multiplication in deep neural networks to reduce running time.,"Improves computation efficiency for multi-dimensional data arrays in technology fields such as numerical simulations, graphics processing, gaming console design, supercomputing, and machine learning computations for Deep Neural Networks (DNN) layers",competitor,"The technical uniqueness of US20230297372A1 lies in its partitioned system consisting of an SIMD VPU, MXU, and XU, which provides increased flexibility, memory bandwidth requirements, and computational density compared to the dual multiplying units with inner buffer and adder circuits used by US11475102B2.",Utilizes dual multiplying units with inner buffer and adder circuits for simultaneous processing.,"Utilizes a partitioned system consisting of an SIMD VPU with increased flexibility and memory bandwidth requirements, a matrix unit (MXU) with lower flexibility and high computational density, and a low memory-bandwidth cross-lane unit (XU) for certain operations",ours,"Although both patents enhance performance in deep neural networks, the strategic value of US11475102B2 is higher because it directly improves model training efficiency, a crucial aspect for machine learning applications.","Enhances performance of deep neural networks, improving model training efficiency.","Increased performance, resource utilization, or flexibility for certain computations associated with dimensional arrays of data, which can contribute to business success or product competitiveness in technology fields such as supercomputing, gaming console design, and machine learning",competitor,"US20230297372A1 offers more extensive functional improvements and technical uniqueness for a broader range of applications, particularly in supercomputing, gaming console design, and machine learning."
AI,10,US11475102B2,CN109992743B,tie,Both patents aim to accelerate matrix multiplication in deep neural networks.,Accelerates matrix multiplication in deep neural networks to reduce running time.,Accelerates and optimizes matrix multiplication calculations by partitioning matrices and processing subblocks concurrently in a systolic array.,ours,"The US patent utilizes dual multiplying units, which is not present in the CN patent.",Utilizes dual multiplying units with inner buffer and adder circuits for simultaneous processing.,"Includes an operation circuit with multiple operation units for efficient vector multiplication and addition, controlled by a dedicated controller that manages the partitioned subblocks.",competitor,"The CN patent supports regulatory alignment with data processing standards, while the US patent does not explicitly mention this aspect.","Enhances performance of deep neural networks, improving model training efficiency.","Enhances calculation efficiency and flexibility in current or near-term systems requiring large-scale matrix calculations, supporting regulatory alignment with data processing standards.",tie,"Both patents offer unique technical solutions to improve matrix multiplication in deep neural networks, with the CN patent emphasizing regulatory alignment and the US patent focusing on flexibility within the systolic array."
AI,10,US11475102B2,US11347652B2,ours,"The first patent's purpose is to accelerate matrix multiplication in deep neural networks, which directly impacts the running time and efficiency of model training. The second patent addresses a memory bandwidth challenge but does not have a direct impact on functional purpose.",Accelerates matrix multiplication in deep neural networks to reduce running time.,Addresses memory bandwidth challenge in scaling up Deep Neural Network (DNN) accelerators by using a banked memory structure with multiple local memories.,tie,"Both patents demonstrate unique technical solutions: the first patent uses dual multiplying units and inner buffer and adder circuits, while the second patent employs a banked memory structure with multiple local memories. However, the technical uniqueness of both approaches is comparable.",Utilizes dual multiplying units with inner buffer and adder circuits for simultaneous processing.,Improves scalability and potential compute throughput by decoupling data access from a single logically unified memory structure.,ours,"The first patent's strategic value is to enhance the performance of deep neural networks, improving model training efficiency. The second patent aims to potentially improve scalability and computational efficiency in high-performance DNN accelerators, but its strategic value is more specific to a market niche.","Enhances performance of deep neural networks, improving model training efficiency.",Potentially enhances product competitiveness in the market for high-performance DNN accelerators by offering improved scalability and computational efficiency.,ours,"The first patent has a broader impact on deep neural network performance, enhancing both efficiency and strategic value."
AI,10,US11475102B2,CN109478252B,competitor,"The CN109478252B patent addresses a broader range of neural network operations, including not only matrix multiplication but also convolution, max pooling, and noise generation.",Accelerates matrix multiplication in deep neural networks to reduce running time.,"Addresses limited performance in neural network operations on non-optimized CPUs and GPUs by providing hardware optimizations specific to convolution, max pooling, and noise generation.",competitor,"The CN109478252B patent offers a system environment for machine learning hardware acceleration with optimized multicast networks, memory transfer optimization, and DRAM permutation, which is not directly mentioned in the US11475102B2 patent.",Utilizes dual multiplying units with inner buffer and adder circuits for simultaneous processing.,"Implements a system environment for machine learning hardware acceleration with optimized multicast networks, memory transfer optimization, and DRAM permutation.",competitor,"By improving performance in a wider range of deep neural network operations, reducing processing times, resource consumption, and increasing flexibility, the CN109478252B patent provides a more significant strategic value than the US11475102B2.","Enhances performance of deep neural networks, improving model training efficiency.","Enhances performance in deep neural network operations, reducing processing times, resource consumption, and increasing flexibility, thus contributing to business success or product competitiveness.",competitor,"The CN109478252B patent offers a more comprehensive solution for deep neural network optimization, addressing a broader range of operations and providing greater strategic value."
